stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
hormone peptide	peptide hormones	peptide hormones|&|peptide hormone	2	7,86819688189	47,5939295094	81,6953010147	3,0	52,0	 
effect pedigree second	second pedigree and effect	second pedigree and effect	4	3,9714236158	24,709315429	209,509452259	2,0	28,0	 
endocrine lineage pancreatic	pancreatic endocrine lineage	pancreatic endocrine lineage|&|pancreatic endocrine lineages	3	3,9714236158	24,709315429	160,316048825	4,0	46,0	 
7q22 chromosome linkage replication	Replication of linkage on chromosome 7q22	Replication of linkage on chromosome 7q22	6	3,9714236158	24,709315429	276,336752706	2,0	27,0	 
agenesis dorsal lobe pancreas	Pancreas dorsal lobe agenesis	Pancreas dorsal lobe agenesis	4	3,9714236158	24,709315429	127,18144697	2,0	35,0	 
state steady	steady state	steady state	2	4,72091812914	28,5563577056	191,934076753	3,0	72,0	 
body embryoid	embryoid bodies	embryoid bodies|&|embryoid body	2	9,44183625827	50,5681332296	148,307232951	6,0	107,0	 
breast cancer male patient	male breast cancer patients	male breast cancer patients	4	9,92855903949	61,7732885726	234,865048128	4,0	85,0	 
cell parent	parent cell	parent cell	2	4,72091812914	28,5563577056	198,338198766	3,0	51,0	 
carcinoma cell renal	renal cell carcinoma	renal cell carcinoma|&|renal cell carcinomas|&|Renal cell carcinoma	3	27,7999653106	120,929172417	673,246067875	25,0	327,0	 
functional significance	functional significance	functional significance	2	12,589115011	63,8025149427	205,724989288	8,0	151,0	 
expression insulin	insulin expression	insulin expression|&|expression from insulin|&|expression of insulin|&|Expression of insulin	2	11,0154756347	58,9961554345	139,124936535	6,0	130,0	 
human kidney	human kidney	human kidney|&|kidney in both humans	2	4,72091812914	28,5563577056	221,452076017	3,0	47,0	 
immunocontraceptive implication strategy	implications for immunocontraceptive strategies	implications for immunocontraceptive strategies	4	3,9714236158	24,709315429	480,747821158	2,0	12,0	 
node resected	resected nodes	resected nodes|&|nodes resected	2	4,72091812914	28,5563577056	303,94724531	3,0	59,0	 
hysterectomy radical	radical hysterectomy	radical hysterectomy|&|Radical hysterectomy	2	12,589115011	65,483557002	529,380652437	9,0	109,0	 
region regulatory	regulatory regions	regulatory regions|&|regulatory region	2	6,29455750551	36,2643122592	106,861063839	8,0	119,0	 
autosomal degeneration recessive retinal	autosomal recessive retinal degeneration	autosomal recessive retinal degeneration	4	5,95713542369	34,648562585	216,802942506	3,0	32,0	 
60-kDa Tat-interactive protein	60-kDa Tat-interactive protein	60-kDa Tat-interactive protein	3	3,9714236158	24,709315429	476,565817309	2,0	10,0	 
expression hASH1	hASH1 expression	hASH1 expression	2	4,72091812914	33,7428163761	121,552643367	1,0	14,0	 
calcium intracellular	intracellular calcium	intracellular calcium	2	7,86819688189	45,330390324	149,847368903	4,0	74,0	 
disease lymph node	lymph node disease	lymph node disease	3	5,95713542369	34,648562585	213,097733291	5,0	60,0	 
I collagen expression protein type	type I collagen protein expression	type I collagen protein expression	5	5,95713542369	41,1931447667	183,015780853	1,0	19,0	 
cell culture non-phagocytic	non-phagocytic cells in culture	non-phagocytic cells in culture	4	3,9714236158	24,709315429	83,251045379	2,0	41,0	 
T cell helper	helper T cells	helper T cells|&|helper T cell	3	5,95713542369	34,648562585	437,310475739	3,0	29,0	 
identification successful	successful identification	successful identification|&|Successful identification	2	4,72091812914	28,5563577056	115,986243591	3,0	43,0	 
Brazilian HIV-1 child infection risk	risk of HIV-1 infection in Brazilian children	risk of HIV-1 infection in Brazilian children	7	3,9714236158	24,709315429	276,752409553	2,0	15,0	 
cell human	human cells	human cells|&|cells or human|&|cells and human	2	6,29455750551	36,2643122592	202,88662385	4,0	62,0	 
electrophysiological study	electrophysiological studies	electrophysiological studies	2	4,72091812914	28,5563577056	130,608322576	3,0	44,0	 
inferior laryngeal nerve recurrent thyroid	recurrent laryngeal nerve and inferior thyroid	recurrent laryngeal nerve and inferior thyroid	6	3,9714236158	24,709315429	420,922375779	2,0	38,0	 
cell fate fibroblast	cell fate of fibroblasts	cell fate of fibroblasts	4	3,9714236158	27,4620965111	286,196603151	1,0	13,0	 
axillary nodal status	axillary nodal status	axillary nodal status	3	7,94284723159	43,9130686939	205,803552604	4,0	78,0	 
expression factor transcription	transcription factor expression	transcription factor expression|&|Expression of transcription factors|&|expression of the transcription factors|&|expression of transcription factors|&|expression of those transcription factors|&|expression of these transcription factors	3	25,8142535027	112,291374387	239,016909573	13,0	201,0	 
major psychosis	major psychosis	major psychosis	2	4,72091812914	33,7428163761	85,6837129054	3,0	42,0	 
melanoma patient thin	patients with thin melanomas	patients with thin melanomas	4	5,95713542369	34,648562585	168,786430393	3,0	16,0	 
melanoma metastatic	metastatic melanoma	metastatic melanoma|&|melanoma metastatic	2	6,29455750551	38,0751436075	159,98586328	7,0	99,0	 
cleft locus nonsyndromic rs2235371	rs2235371 locus and nonsyndromic cleft	rs2235371 locus and nonsyndromic cleft	5	3,9714236158	24,709315429	472,964011378	2,0	19,0	 
other population	other populations	other populations	2	4,72091812914	28,5563577056	154,1964768	3,0	26,0	 
role significant	significant role	significant role	2	11,0154756347	57,2981123768	120,038471858	7,0	99,0	 
polymorphism rs642961	rs642961 polymorphisms	rs642961 polymorphisms	2	4,72091812914	28,5563577056	281,487829168	3,0	19,0	 
cell melanoma	melanoma cells	melanoma cells|&|melanoma cell|&|cell melanoma	2	12,589115011	69,7194446869	250,075962261	16,0	254,0	 
Pax6 protein	Pax6 protein	Pax6 protein|&|protein or Pax6	2	4,72091812914	28,5563577056	92,720605968	3,0	61,0	 
Ionic basis excitability kidney normal rat	Ionic basis for excitability of normal rat kidney	Ionic basis for excitability of normal rat kidney	8	3,9714236158	24,709315429	327,272914897	2,0	40,0	 
association evidence	evidence for an association	evidence for an association|&|evidence for association|&|Evidence of association|&|evidence of any association	4	6,29455750551	36,2643122592	313,288214916	6,0	64,0	 
DNA binding capacity correlation study	DNA binding capacity correlation studies	DNA binding capacity correlation studies	5	3,9714236158	24,709315429	201,593921901	2,0	26,0	 
axillary dissection lymph node	axillary lymph node dissection	axillary lymph node dissection|&|Axillary lymph node dissection	4	117,156996666	334,422538829	1900,41920121	65,0	1112,0	 
disorder eye	eye disorders	eye disorders	2	4,72091812914	28,5563577056	378,492566609	3,0	24,0	 
staging system	staging system	staging system	2	11,0154756347	57,2981123768	139,104925364	9,0	75,0	 
cancer cell line lung	lung cancer cell lines	lung cancer cell lines	4	3,9714236158	24,709315429	732,126708034	2,0	36,0	 
fibrosis interstitial	interstitial fibrosis	interstitial fibrosis	2	6,29455750551	36,2643122592	275,718424228	4,0	53,0	 
carcinoma cell clear renal	clear cell renal cell carcinoma	clear cell renal cell carcinoma	5	9,92855903949	61,7732885726	758,538639491	4,0	60,0	 
accumulation mRNA myc	myc mRNA accumulation	myc mRNA accumulation	3	7,94284723159	46,1980834466	203,679385848	3,0	24,0	 
Area cortex mammalian patterning	Area patterning of the mammalian cortex	Area patterning of the mammalian cortex	6	3,9714236158	24,709315429	335,443474593	2,0	20,0	 
Tumor size	Tumor size	Tumor size	2	7,86819688189	43,5746529293	378,280173438	5,0	70,0	 
lipid metabolism	lipid metabolism	lipid metabolism	2	7,86819688189	43,5746529293	98,6572289675	5,0	57,0	 
improvement skin stability	improvement in skin stability	improvement in skin stability	4	3,9714236158	24,709315429	440,256126124	2,0	15,0	 
afferents convergence different laryngeal nature	Convergence of laryngeal afferents with different natures	Convergence of laryngeal afferents with different natures	7	3,9714236158	24,709315429	124,232008327	2,0	42,0	 
expression growth state-regulated	Growth state-regulated expression	Growth state-regulated expression	3	3,9714236158	24,709315429	501,253279973	2,0	32,0	 
cell injury	cell injury	cell injury	2	6,29455750551	38,0751436075	268,042261755	5,0	92,0	 
key regulator	key regulator	key regulator|&|key regulators	2	14,1627543874	70,1096971055	253,454359145	9,0	157,0	 
downstream ras target	downstream target for ras	downstream target for ras	4	3,9714236158	24,709315429	194,836969112	2,0	40,0	 
multidisciplinary team	multidisciplinary team	multidisciplinary team	2	4,72091812914	28,5563577056	229,134292657	3,0	51,0	 
expression pattern temporal	temporal expression pattern	temporal expression pattern|&|temporal patterns of expression	3	3,9714236158	24,709315429	111,500649407	2,0	36,0	 
element key	key element	key element	2	4,72091812914	28,5563577056	199,544747639	3,0	51,0	 
cholate sodium	sodium cholate	sodium cholate	2	4,72091812914	30,4705252852	399,553426695	2,0	32,0	 
aqueous dispersion	aqueous dispersion	aqueous dispersion|&|aqueous dispersions	2	9,44183625827	52,2895835152	215,028721654	5,0	78,0	 
method preparation	preparation method	preparation method|&|method of preparation	2	6,29455750551	36,2643122592	317,99943891	4,0	72,0	 
acid activation arachidonic mechanism release	Mechanism of the activation of arachidonic acid release	Mechanism of the activation of arachidonic acid release	8	3,9714236158	24,709315429	242,064105213	2,0	14,0	 
Intraoperative breast cancer cytology imprint lymph node sentinel touch	Intraoperative touch imprint cytology of sentinel lymph nodes in breast cancer	Intraoperative touch imprint cytology of sentinel lymph nodes in breast cancer	11	3,9714236158	24,709315429	442,410442552	2,0	31,0	 
biopsy lymph node role sentinel	role of sentinel lymph node biopsy	role of sentinel lymph node biopsy|&|role for sentinel lymph node biopsy	6	11,9142708474	61,0387819236	580,486131859	14,0	211,0	 
conservation mouse structural	Structural conservation of mouse	Structural conservation of mouse	4	3,9714236158	24,709315429	241,58131357	2,0	21,0	 
ascites cell tumor	ascites tumor cells	ascites tumor cells	3	5,95713542369	34,648562585	546,82941005	3,0	44,0	 
affinity cation cell contact-dependent human inhibitor organic transporter	cell contact-dependent inhibitor affinity of human organic cation transporter	cell contact-dependent inhibitor affinity of human organic cation transporter	9	3,9714236158	24,709315429	113,701027757	2,0	27,0	 
cell proliferation	cell proliferation	cell proliferation|&|proliferation cell|&|cells proliferation	2	91,27108383	293,499129676	468,991378509	75,0	1257,0	 
human tumor	human tumors	human tumors	2	6,29455750551	36,2643122592	140,656261428	4,0	62,0	 
biopsy previous	previous biopsy	previous biopsy	2	4,72091812914	28,5563577056	317,065035473	3,0	29,0	 
height individual	individual height	individual height	2	4,72091812914	28,5563577056	147,631874605	3,0	25,0	 
cell isolate tumor	isolated tumor cells	isolated tumor cells|&|Isolated tumor cells	3	45,6713715817	176,766594336	1231,7940734	27,0	396,0	 
tumor type	tumor type	tumor type|&|type of tumor|&|tumor types	2	11,0154756347	57,2981123768	310,317201279	7,0	96,0	 
cytotoxicity vitro	vitro cytotoxicity	vitro cytotoxicity	2	6,29455750551	36,2643122592	372,890003049	6,0	79,0	 
melanoma nonear	nonear melanoma	nonear melanoma|&|nonear melanomas	2	4,72091812914	28,5563577056	119,294796229	3,0	33,0	 
Dab1 mouse mutant	Dab1 mutant mice	Dab1 mutant mice	3	3,9714236158	24,709315429	178,691351075	2,0	20,0	 
short survival	shorter survival	shorter survival	2	4,72091812914	30,4705252852	278,221703595	2,0	32,0	 
alcohol dependence	alcohol dependence	alcohol dependence	2	7,86819688189	45,330390324	99,2030982084	6,0	49,0	 
SLNs breast cancer patient	SLNs in breast cancer patients	SLNs in breast cancer patients|&|SLNs from breast cancer patients	5	5,95713542369	34,648562585	368,7628715	3,0	34,0	 
lymphoscintigraphy management role	role of lymphoscintigraphy in the management	role of lymphoscintigraphy in the management	6	3,9714236158	24,709315429	215,753659279	2,0	15,0	 
F-box lectin-type member new protein subfamily	new member of the lectin-type subfamily of F-box proteins	new member of the lectin-type subfamily of F-box proteins	9	3,9714236158	24,709315429	152,345754831	2,0	10,0	 
diagnosis treatment	diagnosis and treatment	diagnosis and treatment	3	7,86819688189	43,5746529293	77,9341748476	5,0	64,0	 
deletion gene	gene deletions	gene deletions|&|gene deletion	2	6,29455750551	36,2643122592	224,581936036	4,0	56,0	 
accurate method	accurate method	accurate method	2	9,44183625827	50,5681332296	215,085232265	6,0	92,0	 
cancer lung	lung cancer	lung cancer|&|lung cancers	2	25,1782300221	115,380802422	395,150766572	35,0	482,0	 
different stage	different stages	different stages	2	7,86819688189	43,5746529293	166,137086073	5,0	111,0	 
breast cancer surgery	breast cancer surgery	breast cancer surgery	3	9,92855903949	54,8913358673	453,425908801	5,0	95,0	 
node-negative patient	node-negative patients	node-negative patients	2	7,86819688189	43,5746529293	203,218613545	8,0	120,0	 
electrical stimulation	electrical stimulation	electrical stimulation|&|Electrical stimulation	2	17,3100331402	82,216013407	1250,57325036	18,0	216,0	 
migration survival	survival and migration	survival and migration|&|migration and survival	3	7,86819688189	43,5746529293	145,103062762	5,0	45,0	 
cadmium contaminated soil	Cadmium contaminated soil	Cadmium contaminated soil	3	3,9714236158	24,709315429	174,242547742	2,0	17,0	 
arthritis autoantibody patient rheumatoid	autoantibodies from a patient with rheumatoid arthritis	autoantibodies from a patient with rheumatoid arthritis|&|Autoantibodies from a patient with rheumatoid arthritis	7	5,95713542369	34,648562585	126,875077146	3,0	41,0	 
follicle hair	hair follicles	hair follicles|&|hair follicle	2	6,29455750551	36,2643122592	246,631436988	5,0	50,0	 
cancer metastasis	cancer metastasis	cancer metastasis|&|cancer metastases	2	6,29455750551	40,627367047	188,37242482	12,0	171,0	 
cell neuroblastoma	neuroblastoma cells	neuroblastoma cells|&|neuroblastoma cell	2	6,29455750551	38,0751436075	318,479353414	13,0	215,0	 
6-phosphate mannose	mannose 6-phosphate	mannose 6-phosphate	2	9,44183625827	60,9410505705	141,687290538	4,0	42,0	 
population progenitor	progenitor populations	progenitor populations	2	6,29455750551	38,0751436075	151,959613433	3,0	48,0	 
growth tumor	tumor growth	tumor growth	2	12,589115011	63,8025149427	251,402305479	8,0	149,0	 
membrane protein	membrane proteins	membrane proteins|&|membrane protein	2	31,4727875276	132,282406795	308,108331468	26,0	410,0	 
gene locus	gene loci	gene loci|&|genes and loci	2	6,29455750551	40,627367047	303,103632584	3,0	38,0	 
novel target	novel targets	novel targets	2	6,29455750551	36,2643122592	325,865825612	4,0	69,0	 
cell retinal	retinal cells	retinal cells	2	9,44183625827	52,2895835152	123,358533051	11,0	125,0	 
ITCs micrometastases	micrometastases or ITCs	micrometastases or ITCs	3	4,72091812914	28,5563577056	326,404275418	3,0	49,0	 
account characteristic several	several characteristics into account	several characteristics into account	4	3,9714236158	24,709315429	204,988911126	2,0	19,0	 
bulk lipid	bulk lipid	bulk lipid	2	7,86819688189	47,5939295094	292,295799594	3,0	53,0	 
gland growth mammary	mammary gland growth	mammary gland growth	3	7,94284723159	49,418630858	131,909281547	2,0	30,0	 
anchorage-independent effect exogenous growth heparin	Effect of exogenous heparin on anchorage-independent growth	Effect of exogenous heparin on anchorage-independent growth	7	3,9714236158	24,709315429	617,055669754	2,0	31,0	 
cone photoreceptor	cone photoreceptors	cone photoreceptors|&|cone photoreceptor	2	7,86819688189	50,7842088087	211,908214469	2,0	33,0	 
blastocoel fluid	blastocoel fluid	blastocoel fluid	2	9,44183625827	67,4856327522	75,8320633591	1,0	20,0	 
axillary breast cancer staging	axillary staging for breast cancer	axillary staging for breast cancer|&|axillary staging of breast cancer|&|axillary staging in breast cancer	5	3,9714236158	24,709315429	254,486824879	4,0	50,0	 
estrogen receptor status	estrogen receptor status	estrogen receptor status	3	13,8999826553	69,0692204683	881,385616993	7,0	148,0	 
NRK-52E cell	NRK-52E cells	NRK-52E cells|&|cells NRK-52E	2	108,58111697	349,162757718	526,799436262	66,0	880,0	 
mean number	mean number	mean number|&|Mean number	2	34,6200662803	143,734870223	419,142893388	20,0	302,0	 
procedure second surgical	second surgical procedure	second surgical procedure	3	3,9714236158	24,709315429	201,089629354	2,0	23,0	 
frozen section	frozen section	frozen section|&|frozen sections	2	25,1782300221	110,152810734	504,732711598	30,0	461,0	 
ARM node	ARM nodes	ARM nodes	2	4,72091812914	30,4705252852	246,319098979	2,0	18,0	 
detection probe	probe detection	probe detection|&|detection probe	2	4,72091812914	30,4705252852	214,510216206	4,0	75,0	 
didanosine-loaded lipid manufacture nanoparticles solid	manufacture of didanosine-loaded solid lipid nanoparticles	manufacture of didanosine-loaded solid lipid nanoparticles	6	3,9714236158	24,709315429	715,76607085	2,0	19,0	 
expression system	expression system	expression system	2	7,86819688189	43,5746529293	140,110791118	7,0	93,0	 
3T3 Swiss cell	Swiss 3T3 cells	Swiss 3T3 cells	3	9,92855903949	61,7732885726	213,942090302	2,0	37,0	 
molecular weight	molecular weight	molecular weight|&|molecular weights	2	15,7363937638	79,7531436784	215,067854206	8,0	118,0	 
experimental group	experimental groups	experimental groups|&|experimental group	2	6,29455750551	36,2643122592	405,42491385	4,0	55,0	 
node sentinel	sentinel node	sentinel node|&|sentinel nodes|&|Sentinel node|&|Sentinel nodes	2	113,302035099	336,861020055	1437,93739848	258,0	3531,0	 
drug lipid nanoparticles solid	solid lipid nanoparticles for drug	solid lipid nanoparticles for drug	5	3,9714236158	24,709315429	357,882797833	2,0	16,0	 
dorsal telencephalon	dorsal telencephalon	dorsal telencephalon	2	11,0154756347	58,9961554345	346,984411668	6,0	90,0	 
SLNs negative	negative SLNs	negative SLNs|&|Negative SLNs|&|SLNs negative	2	25,1782300221	115,380802422	426,094502285	19,0	365,0	 
definitive endoderm	definitive endoderm	definitive endoderm	2	12,589115011	69,7194446869	146,095189364	5,0	110,0	 
other oxidative stress tumorigenic	oxidative stress and other tumorigenic	oxidative stress and other tumorigenic	5	3,9714236158	24,709315429	607,276985734	2,0	15,0	 
SLNs positive	positive SLNs	positive SLNs|&|Positive SLNs|&|SLNs positive	2	81,8292475717	279,024791317	522,913404725	54,0	852,0	 
cell kidney placental	kidney cells and placental	kidney cells and placental	4	5,95713542369	34,648562585	719,932994483	3,0	30,0	 
Zp1 gene mouse	mouse Zp1 gene	mouse Zp1 gene	3	3,9714236158	24,709315429	276,736712942	2,0	18,0	 
marker tumor	tumor markers	tumor markers|&|tumor marker	2	6,29455750551	36,2643122592	162,338458522	4,0	49,0	 
age mean	mean age	mean age|&|Mean age|&|mean ages	2	22,0309512693	99,3255329962	152,001060647	14,0	188,0	 
bovine sperm	bovine sperm	bovine sperm	2	4,72091812914	30,4705252852	132,94637771	2,0	35,0	 
lymph node procedure sentinel	sentinel lymph node procedure	sentinel lymph node procedure|&|sentinel lymph node procedures	4	5,95713542369	34,648562585	540,432048645	11,0	148,0	 
mg protein	mg protein	mg protein	2	4,72091812914	28,5563577056	165,682437334	3,0	52,0	 
node patient	nodes per patient	nodes per patient	3	7,86819688189	45,330390324	290,455318246	4,0	56,0	 
Hepatocyte activator factor growth inhibitor type	Hepatocyte growth factor activator inhibitor type	Hepatocyte growth factor activator inhibitor type	6	9,92855903949	52,6758419438	261,895375947	5,0	59,0	 
Alcohol-induced alteration epigenetic	Alcohol-induced epigenetic alterations	Alcohol-induced epigenetic alterations	3	3,9714236158	24,709315429	295,791304159	2,0	11,0	 
24-hydroxylase cytochrome induction	Induction of 24-hydroxylase cytochrome	Induction of 24-hydroxylase cytochrome	4	3,9714236158	24,709315429	285,962664064	2,0	30,0	 
antigen differentiation melanocytic	melanocytic differentiation antigens	melanocytic differentiation antigens	3	5,95713542369	37,0639731435	196,841903083	3,0	42,0	 
development lens	lens development	lens development	2	17,3100331402	82,216013407	125,763354843	18,0	255,0	 
binding sequence	binding sequence	binding sequence|&|binding sequences	2	6,29455750551	38,0751436075	93,9041443457	3,0	49,0	 
blue isosulfan	isosulfan blue	isosulfan blue	2	18,8836725165	88,0471020957	393,628365527	15,0	245,0	 
effect maternal transmission	Maternal transmission effects	Maternal transmission effects	3	3,9714236158	24,709315429	171,102675902	2,0	24,0	 
canine gland mucus production submucosal trachea	mucus production from submucosal glands in canine trachea	mucus production from submucosal glands in canine trachea	8	3,9714236158	24,709315429	182,97455609	2,0	17,0	 
male patient	male patients	male patients	2	4,72091812914	28,5563577056	94,7529928821	3,0	61,0	 
condition culture	culture conditions	culture conditions|&|culture under conditions	2	26,7518693984	117,037361405	240,480471227	20,0	361,0	 
lymph node patient positive sentinel	patients with positive sentinel lymph nodes	patients with positive sentinel lymph nodes|&|patients with a positive sentinel lymph node	6	5,95713542369	34,648562585	798,511688551	5,0	75,0	 
cytology imprint smear	imprint smear cytology	imprint smear cytology	3	5,95713542369	41,1931447667	149,213763648	1,0	17,0	 
essential factor transcription	transcription factor essential	transcription factor essential|&|transcription factors essential	3	7,94284723159	43,9130686939	193,271214927	4,0	58,0	 
bioavailability lipid nanoparticles solid	bioavailability of solid lipid nanoparticles	bioavailability of solid lipid nanoparticles	5	3,9714236158	24,709315429	100,940810249	2,0	23,0	 
accuracy biopsy diagnostic early endometrial sentinel-node stage	diagnostic accuracy of sentinel-node biopsy in early stage endometrial	diagnostic accuracy of sentinel-node biopsy in early stage endometrial	9	3,9714236158	24,709315429	292,831925823	2,0	29,0	 
breast cancer consecutive patient	consecutive breast cancer patients	consecutive breast cancer patients|&|consecutive patients with breast cancer	4	7,94284723159	43,9130686939	209,7558353	4,0	68,0	 
cm size	cm in size	cm in size	3	4,72091812914	28,5563577056	193,508816288	3,0	52,0	 
distribution particle size	particle size distribution	particle size distribution|&|particle size distributions	3	9,92855903949	52,6758419438	428,342073368	5,0	88,0	 
compartment prelysosomal	prelysosomal compartment	prelysosomal compartment|&|prelysosomal compartments	2	4,72091812914	30,4705252852	199,378739861	2,0	15,0	 
melanoma patient thick	patients with thick melanoma	patients with thick melanoma|&|patients with thick melanomas	4	9,92855903949	52,6758419438	196,8121121	5,0	58,0	 
free radical scavenger	free radical scavenger	free radical scavenger|&|free radical scavengers	3	5,95713542369	37,0639731435	139,877431939	2,0	36,0	 
CT-based axillary breast cancer evaluation lymph node sentinel status	CT-based evaluation of axillary sentinel lymph node status in breast cancer	CT-based evaluation of axillary sentinel lymph node status in breast cancer	11	3,9714236158	24,709315429	246,611491454	2,0	55,0	 
patient schizophrenia	schizophrenia patients	schizophrenia patients|&|patients with schizophrenia	2	15,7363937638	81,8544462526	363,300416566	7,0	121,0	 
level mRNA	mRNA levels	mRNA levels|&|mRNA level	2	42,4882631622	166,920904251	167,40096581	28,0	499,0	 
differentiation embryonic mouse	differentiation of mouse embryonic	differentiation of mouse embryonic	4	3,9714236158	24,709315429	867,059772895	4,0	41,0	 
breast cancer mapping	mapping in breast cancer	mapping in breast cancer|&|mapping for breast cancer	4	7,94284723159	43,9130686939	236,885710457	4,0	46,0	 
expression reelin	reelin expression	reelin expression	2	6,29455750551	44,9904218348	234,010543278	1,0	32,0	 
cancer cervix	cervix cancer	cervix cancer	2	6,29455750551	36,2643122592	496,786788682	4,0	36,0	 
blue cancer dye vulvar	vulvar cancer by blue dye	vulvar cancer by blue dye	5	3,9714236158	24,709315429	780,373776688	2,0	39,0	 
lymph mapping node prostate sentinel	prostate sentinel lymph node mapping	prostate sentinel lymph node mapping	5	3,9714236158	24,709315429	307,654895982	2,0	36,0	 
condition culture feeder-free	feeder-free culture conditions	feeder-free culture conditions	3	3,9714236158	24,709315429	450,969780249	2,0	25,0	 
burden lymphatic tumor	Lymphatic tumor burden	Lymphatic tumor burden	3	3,9714236158	24,709315429	313,83544547	2,0	50,0	 
genetic merit	genetic merit	genetic merit	2	7,86819688189	47,5939295094	144,686975687	3,0	58,0	 
previous report	previous reports	previous reports|&|previous report	2	11,0154756347	57,2981123768	182,051210017	7,0	118,0	 
fibrosis oral submucous	oral submucous fibrosis	oral submucous fibrosis	3	3,9714236158	24,709315429	472,311993522	3,0	16,0	 
drainage lymph node	lymph node drainage	lymph node drainage	3	3,9714236158	24,709315429	151,455429511	2,0	31,0	 
lymph metastatic node sentinel	metastatic sentinel lymph node	metastatic sentinel lymph node|&|sentinel lymph nodes metastatic	4	3,9714236158	24,709315429	170,994525875	7,0	128,0	 
cleft lip palate	cleft lip and palate	cleft lip and palate	4	5,95713542369	34,648562585	677,388199752	3,0	37,0	 
E-cadherin cancer invasion oral	oral cancer invasion via the E-cadherin	oral cancer invasion via the E-cadherin	6	3,9714236158	24,709315429	514,476745446	2,0	25,0	 
role specific	specific roles	specific roles|&|specific role	2	4,72091812914	28,5563577056	191,379670763	5,0	83,0	 
drug screening	drug screening	drug screening	2	9,44183625827	52,2895835152	77,9704956257	5,0	104,0	 
additional node	additional nodes	additional nodes|&|additional node	2	6,29455750551	36,2643122592	273,886887786	4,0	44,0	 
release study vitro	vitro release studies	vitro release studies	3	3,9714236158	24,709315429	248,577352745	2,0	39,0	 
brain embryonic	embryonic brain	embryonic brain	2	6,29455750551	36,2643122592	165,808652723	4,0	89,0	 
basic factor helix-loop-helix transcription	basic helix-loop-helix transcription factor	basic helix-loop-helix transcription factor|&|Basic helix-loop-helix transcription factor	4	19,857118079	91,5877784771	227,939796294	10,0	144,0	 
accumulation nuclear	nuclear accumulation	nuclear accumulation	2	6,29455750551	38,0751436075	223,978022053	3,0	63,0	 
prostatectomy radical	radical prostatectomy	radical prostatectomy	2	4,72091812914	28,5563577056	128,441462794	3,0	27,0	 
case many	many cases	many cases	2	4,72091812914	28,5563577056	65,955062502	3,0	17,0	 
room temperature	room temperature	room temperature	2	15,7363937638	76,2416688891	258,240428589	10,0	123,0	 
change expression gene insulin sensitivity	insulin sensitivity and changes gene expression	insulin sensitivity and changes gene expression	6	3,9714236158	24,709315429	109,674953046	2,0	35,0	 
frame open reading	open reading frame	open reading frame	3	3,9714236158	24,709315429	334,626747054	2,0	30,0	 
identification patient	identification in patients	identification in patients|&|identification of patients	3	4,72091812914	28,5563577056	91,4453062148	3,0	25,0	 
adhesion cell difference expression mechanism molecular molecule neural	Differences of molecular expression mechanisms among neural cell adhesion molecule	Differences of molecular expression mechanisms among neural cell adhesion molecule	10	3,9714236158	24,709315429	835,740584155	2,0	32,0	 
permeation study vitro	vitro permeation studies	vitro permeation studies	3	5,95713542369	37,0639731435	181,430178269	2,0	46,0	 
factor fibroblast growth	fibroblast growth factor	fibroblast growth factor|&|Fibroblast growth factor|&|fibroblast growth factors	3	39,714236158	155,647746133	541,626461442	33,0	572,0	 
affect patient	affected patients	affected patients	2	7,86819688189	43,5746529293	70,1814928991	5,0	48,0	 
gene individual	individual genes	individual genes	2	6,29455750551	38,0751436075	115,439170791	3,0	57,0	 
antagonist receptor	receptor antagonist	receptor antagonist|&|receptor antagonists	2	11,0154756347	58,9961554345	352,578108553	6,0	76,0	 
morbidity postoperative	postoperative morbidity	postoperative morbidity	2	4,72091812914	30,4705252852	180,96378112	2,0	54,0	 
homolipid templated	templated homolipid	templated homolipid	2	7,86819688189	56,2380272935	332,390465524	1,0	24,0	 
cDNA probe	cDNA probe	cDNA probe	2	6,29455750551	36,2643122592	87,6055074028	4,0	58,0	 
management patient	management of patients	management of patients|&|management of the patient|&|patient management|&|management of these patients	3	14,1627543874	70,1096971055	205,809471288	10,0	134,0	 
association test	association tests	association tests|&|association test	2	4,72091812914	28,5563577056	181,916850108	3,0	73,0	 
missense mutation	missense mutation	missense mutation|&|missense mutations	2	20,4573118929	93,746901968	110,20336252	19,0	268,0	 
apoptosis regulation	regulation of apoptosis	regulation of apoptosis	3	4,72091812914	30,4705252852	66,2083494028	2,0	32,0	 
immunohistochemical study	immunohistochemical studies	immunohistochemical studies	2	4,72091812914	28,5563577056	263,35437368	3,0	37,0	 
activity respiratory	respiratory activity	respiratory activity|&|Respiratory activity	2	4,72091812914	30,4705252852	358,171596882	4,0	50,0	 
cell glial	glial cells	glial cells|&|glial cell	2	11,0154756347	57,2981123768	164,962077809	22,0	311,0	 
novel variant	novel variants	novel variants|&|novel variant	2	4,72091812914	28,5563577056	139,863822808	3,0	34,0	 
ear inner	inner ear	inner ear	2	12,589115011	65,483557002	263,548174271	9,0	134,0	 
E delivery knockdown lentiviral shRNA	E knockdown by lentiviral delivery of shRNA	E knockdown by lentiviral delivery of shRNA	7	3,9714236158	24,709315429	542,335265554	2,0	24,0	 
